cc_code,prov_th,prov_en,region,northeast,pop,sex_ratio,hh_size,pop_growth_pct,gpp_pc,log_gpp_pc
23,จังหวัดตราด,Trat,East,0,225591,97.33810369411374,1.9486641270828475,-1.2886372387720058,164835.323095,12.01270221265884
24,จังหวัดฉะเชิงเทรา,Chachoengsao,East,0,733400,95.5962832972402,2.0878110437062487,1.7596341426188822,490005.044113,13.102170964141989
25,จังหวัดปราจีนบุรี,Prachin Buri,East,0,501954,97.28337126080343,2.034978898334975,1.6780440375149475,388558.951907,12.870200179638491
26,จังหวัดนครนายก,Nakhon Nayok,Central,0,259683,97.59627456799141,2.2942829123485913,-0.1530292485802498,126434.805644,11.747482083897577
27,จังหวัดสระแก้ว,Sa Kaeo,East,0,560847,99.4221934602967,2.3655946179640215,-0.013905602353259106,82526.025843,11.320868987337862
30,จังหวัดนครราชสีมา,Nakhon Ratchasima,Northeast,1,2613432,95.75037975138643,2.387227838897435,-0.7509853953752921,137864.260063,11.834024857333162
31,จังหวัดบุรีรัมย์,Buri Ram,Northeast,1,1560279,97.84928102254571,3.0580034807968204,-1.3221105197118055,91635.871174,11.425578080707385
32,จังหวัดสุรินทร์,Surin,Northeast,1,1354477,98.40613231108618,3.144885440175346,-1.7228006248634964,89851.969517,11.405918812027112
33,จังหวัดศรีสะเกษ,Si Sa Ket,Northeast,1,1436741,98.84037311780337,3.378214231970204,-1.4972781746630304,91059.501477,11.419268434208732
34,จังหวัดอุบลราชธานี,Ubon Ratchathani,Northeast,1,1865501,98.91823936926264,2.7897970201304947,-0.06407038742762827,82895.376415,11.325334566528205
35,จังหวัดยโสธร,Yasothon,Northeast,1,522819,98.69605700712589,2.7275757907752025,-2.185406922357347,77376.137097,11.256433705801369
36,จังหวัดชัยภูมิ,Chaiyaphum,Northeast,1,1100647,96.84851931737293,2.56611317833795,-2.1581013472910193,85951.424306,11.361537582005862
37,จังหวัดอำนาจเจริญ,Amnat Charoen,Northeast,1,370677,98.46497333647442,2.851405406237019,-1.4667924879384397,85706.636711,11.358685542789322
38,จังหวัดบึงกาฬ,Bueng Kan,Northeast,1,417907,100.03589959600988,2.8022248447704747,-0.9797603082157713,84020.684543,11.338818292071759
39,จังหวัดหนองบัวลำภู,Nong Bua Lam Phu,Northeast,1,502088,98.68463748387454,3.061568199418282,-1.4489567589848318,69008.250291,11.141981345866323
40,จังหวัดขอนแก่น,Khon Kaen,Northeast,1,1765967,95.76069304570976,2.511497497699647,-1.5917250802577332,131987.269048,11.790460750311174
41,จังหวัดอุดรธานี,Udon Thani,Northeast,1,1546737,97.11942600073917,2.6988389703932216,-1.3549891803673941,100004.713798,11.51297260183927
42,จังหวัดเลย,Loei,Northeast,1,629377,99.60515173907666,2.589815653032672,-1.4652375942486362,117624.282173,11.675250774195309
43,จังหวัดหนองคาย,Nong Khai,Northeast,1,510189,97.64195895218836,2.6520132239653185,-1.4003691284895647,107589.462716,11.586077991765652
44,จังหวัดมหาสารคาม,Maha Sarakham,Northeast,1,924124,96.19175807961685,2.846059321903401,-3.097120567078415,90995.687491,11.418567394167244
45,จังหวัดร้อยเอ็ด,Roi Et,Northeast,1,1269448,97.28437310108927,3.0038783444509387,-2.2478901004127416,82491.280011,11.320447869900104
46,จังหวัดกาฬสินธุ์,Kalasin,Northeast,1,957421,97.04358778578823,2.8529400371285285,-2.0215416890526305,84784.595553,11.347869149063884
47,จังหวัดสกลนคร,Sakon Nakhon,Northeast,1,1134091,98.16199404163864,2.7266522090361796,-1.1199404325960671,78895.433826,11.275878632231507
48,จังหวัดนครพนม,Nakhon Phanom,Northeast,1,708265,98.87319277023859,2.841630357157186,-1.2459547602415522,96731.214383,11.479691425455277
49,จังหวัดมุกดาหาร,Mukdahan,Northeast,1,349618,99.44323063144263,2.7338468154982993,-0.36846949796387474,72251.094023,11.187902748046888
50,จังหวัดเชียงใหม่,Chiang Mai,North,0,1798588,92.41688820895762,1.9620503377375944,0.7968078369396503,154925.062398,11.950696810592854
51,จังหวัดลำพูน,Lamphun,North,0,394944,91.22191181241134,2.0164710327327313,-1.7579120969326678,236618.6961,12.37420524726927
52,จังหวัดลำปาง,Lampang,North,0,697679,93.9565037294035,2.24781478247702,-4.291707135057421,107731.620365,11.587398416757209
53,จังหวัดอุตรดิตถ์,Uttaradit,North,0,433275,94.3835044886203,2.3968169673232986,-3.4473921715005185,120719.56438,11.701225484919647
54,จังหวัดแพร่,Phrae,North,0,417480,92.033118675253,2.229366028708134,-4.5432719789642135,91324.223074,11.422171344362035
55,จังหวัดน่าน,Nan,North,0,468368,99.23685878484437,2.56610472219635,-1.7534144279640174,89515.276761,11.402164579764094
