"","SURVEY_ITERATION","GW_BELIEF","GW_KNOWLEDGE","FRACKING_EFFECT_ENVIRONMENT","SCIENCE_TRUST","DEMOG_EDU","DEMOG_POLPARTY"
"449","FALL2015",98,"2","1","2",2,1
"450","FALL2015",2,"3","1","4",4,4
"451","FALL2015",2,"2","3","4",4,2
"452","FALL2015",1,"2","98","2",3,2
"453","FALL2015",1,"2","2","2",3,4
"454","FALL2015",1,"1","2","1",4,4
"455","FALL2015",1,"2","2","2",2,4
"456","FALL2015",98,"2","2","3",2,2
"457","FALL2015",1,"4","98","3",2,2
"458","FALL2015",1,"2","2","1",4,4
"459","FALL2015",1,"2","1","2",5,2
"460","FALL2015",1,"2","2","2",4,4
"461","FALL2015",1,"1","2","1",5,1
"462","FALL2015",1,"2","2","1",5,4
"463","FALL2015",1,"2","2","1",4,1
"464","FALL2015",1,"1","2","1",5,1
"465","FALL2015",1,"1","2","1",4,1
"466","FALL2015",1,"2","98","2",2,1
"467","FALL2015",1,"2","3","1",2,4
"468","FALL2015",1,"2","2","1",3,3
"469","FALL2015",1,"2","2","2",5,2
"470","FALL2015",2,"1","1","4",4,4
"471","FALL2015",1,"2","98","2",4,99
"472","FALL2015",1,"2","2","1",5,4
"473","FALL2015",1,"3","98","98",3,98
"474","FALL2015",1,"2","98","2",2,1
"475","FALL2015",98,"2","98","2",2,2
"476","FALL2015",1,"1","98","1",2,1
"477","FALL2015",2,"2","98","2",2,99
"478","FALL2015",1,"3","3","2",3,2
"479","FALL2015",98,"2","2","1",4,2
"480","FALL2015",1,"2","2","3",1,4
"481","FALL2015",2,"2","98","3",3,4
"482","FALL2015",1,"2","2","4",2,1
"483","FALL2015",1,"2","2","2",3,1
"484","FALL2015",2,"99","98","4",3,2
"485","FALL2015",1,"1","2","1",4,4
"486","FALL2015",1,"1","2","2",5,2
"487","FALL2015",1,"1","1","2",4,1
"488","FALL2015",1,"1","98","1",5,1
"489","FALL2015",98,"2","2","2",2,2
"490","FALL2015",2,"2","2","4",4,1
"491","FALL2015",2,"2","2","2",4,4
"492","FALL2015",98,"1","1","2",4,4
"493","FALL2015",1,"2","2","1",4,2
"494","FALL2015",1,"2","2","1",4,99
"495","FALL2015",1,"1","2","2",5,4
"496","FALL2015",1,"2","98","98",5,4
"497","FALL2015",1,"1","98","98",2,2
"498","FALL2015",1,"1","2","2",5,4
"499","FALL2015",1,"2","2","4",3,1
"500","FALL2015",1,"3","2","2",2,99
"501","FALL2015",1,"1","1","1",3,4
"502","FALL2015",98,"2","98","1",4,2
"503","FALL2015",98,"4","98","3",5,2
"504","FALL2015",1,"2","3","2",3,2
"505","FALL2015",1,"2","2","3",2,1
"506","FALL2015",1,"3","2","2",5,99
"507","FALL2015",1,"2","3","2",4,4
"508","FALL2015",2,"1","3","1",4,3
"509","FALL2015",2,"2","3","4",3,2
"510","FALL2015",2,"3","2","1",4,1
"511","FALL2015",1,"3","98","98",2,2
"512","FALL2015",2,"3","2","2",1,1
"513","FALL2015",1,"1","2","2",4,2
"514","FALL2015",1,"1","2","1",3,4
"515","FALL2015",1,"2","98","2",1,1
"516","FALL2015",2,"2","2","2",4,4
"517","FALL2015",1,"3","2","1",2,4
"518","FALL2015",2,"3","2","1",3,1
"519","FALL2015",1,"1","98","98",5,4
"520","FALL2015",1,"2","98","1",5,1
"521","FALL2015",98,"2","2","3",2,1
"522","FALL2015",98,"1","2","2",4,4
"523","FALL2015",98,"2","2","98",3,3
"524","FALL2015",2,"1","2","4",5,2
"525","FALL2015",98,"2","2","4",2,4
"526","FALL2015",1,"2","2","1",4,1
"527","FALL2015",1,"2","98","2",4,1
"528","FALL2015",2,"2","3","3",4,2
"529","FALL2015",1,"2","2","1",5,4
"530","FALL2015",1,"1","2","1",5,4
"531","FALL2015",1,"3","98","2",1,98
"532","FALL2015",1,"2","3","1",2,2
"533","FALL2015",1,"2","2","1",3,3
"534","FALL2015",1,"2","2","2",3,1
"535","FALL2015",1,"2","2","2",5,2
"536","FALL2015",1,"3","1","2",4,98
"537","FALL2015",2,"3","98","2",2,2
"538","FALL2015",2,"3","98","4",4,4
"539","FALL2015",98,"2","98","2",3,2
"540","FALL2015",98,"1","3","2",5,2
"541","FALL2015",1,"2","2","1",3,1
"542","FALL2015",1,"1","2","2",5,1
"543","FALL2015",1,"1","2","1",5,4
"544","FALL2015",1,"2","2","3",2,2
"545","FALL2015",98,"3","1","4",3,2
"546","FALL2015",1,"3","2","1",2,3
"547","FALL2015",1,"4","1","3",2,4
"548","FALL2015",2,"4","98","2",5,4
"549","FALL2015",98,"2","2","2",4,2
"550","FALL2015",1,"2","3","4",4,2
"551","FALL2015",1,"2","1","98",5,1
"552","FALL2015",1,"3","3","2",5,2
"553","FALL2015",2,"1","3","3",3,2
"554","FALL2015",98,"2","2","3",3,2
"555","FALL2015",2,"2","98","3",4,4
"556","FALL2015",1,"2","98","3",3,2
"557","FALL2015",1,"2","2","1",4,2
"558","FALL2015",1,"2","98","2",4,4
"559","FALL2015",98,"2","98","2",1,98
"560","FALL2015",2,"2","2","4",3,2
"561","FALL2015",1,"2","2","1",4,2
"562","FALL2015",1,"2","3","2",3,1
"563","FALL2015",1,"1","2","3",5,4
"564","FALL2015",1,"2","98","2",4,1
"565","FALL2015",1,"2","2","2",4,4
"566","FALL2015",1,"2","1","2",4,4
"567","FALL2015",1,"1","2","2",5,1
"568","FALL2015",1,"1","2","1",5,1
"569","FALL2015",1,"2","2","2",2,4
"570","FALL2015",1,"2","2","2",3,1
"571","FALL2015",1,"1","2","2",2,99
"572","FALL2015",1,"2","2","3",4,1
"573","FALL2015",98,"3","98","98",3,1
"574","FALL2015",1,"1","1","2",3,99
"575","FALL2015",1,"2","98","98",2,4
"576","FALL2015",1,"1","2","1",3,1
"577","FALL2015",1,"2","98","1",4,2
"578","FALL2015",1,"2","1","2",3,1
"579","FALL2015",1,"2","1","2",3,4
"580","FALL2015",1,"1","2","2",4,3
"581","FALL2015",1,"1","2","2",5,99
"582","FALL2015",1,"1","2","1",4,4
"583","FALL2015",1,"1","2","1",4,4
"584","FALL2015",1,"3","98","2",3,98
"585","FALL2015",1,"98","98","98",2,1
"586","FALL2015",1,"2","2","2",2,2
"587","FALL2015",1,"2","2","3",3,2
"588","FALL2015",1,"3","2","2",3,4
"589","FALL2015",1,"2","2","1",3,4
"590","FALL2015",98,"2","2","4",2,4
"591","FALL2015",1,"1","2","2",1,4
"592","FALL2015",1,"1","2","98",99,99
"593","FALL2015",1,"2","2","3",2,1
"594","FALL2015",1,"2","2","3",2,2
"595","FALL2015",1,"1","2","2",4,1
"596","FALL2015",1,"3","99","2",5,1
"597","FALL2015",98,"2","3","3",5,2
"598","FALL2015",2,"2","3","2",3,4
"599","FALL2015",1,"3","98","2",3,1
"600","FALL2015",1,"3","98","1",1,4
"601","FALL2015",1,"2","2","2",4,99
"602","FALL2015",1,"1","2","1",2,1
"603","FALL2015",1,"1","2","1",2,3
"604","FALL2015",2,"2","2","3",2,2
"605","FALL2015",1,"1","2","1",5,1
"606","FALL2015",1,"2","1","3",2,3
"607","FALL2015",1,"1","2","2",4,1
"608","FALL2015",1,"98","98","98",1,98
"609","FALL2015",1,"2","98","2",2,1
"610","FALL2015",1,"1","2","1",3,2
"611","FALL2015",2,"2","2","2",1,1
"612","FALL2015",1,"1","2","1",2,2
"613","FALL2015",2,"3","98","1",2,98
"614","FALL2015",98,"2","2","2",3,1
"615","FALL2015",98,"2","98","2",3,4
"616","FALL2015",1,"3","3","2",4,2
"617","FALL2015",1,"2","1","1",99,2
"618","FALL2015",1,"1","2","2",4,1
"619","FALL2015",1,"2","2","2",2,2
"620","FALL2015",1,"2","2","1",5,1
"621","FALL2015",1,"1","98","98",4,4
"622","FALL2015",98,"2","2","98",2,2
"623","FALL2015",1,"2","2","1",3,4
